Data,Price,Type(4g/5g),Countries,Features
60GB,$39,4G,Canada,Unlimited,Unlimited
80GB,$55,4G,Canada,Unlimited,Unlimited
250MB,$19,3G,Canada,100 minutes,Unlimited
3GB,$39,3G,Canada,Unlimited,Unlimited
-,$25,-,Canada,Unlimited,Unlimited
