Data,Price,Type(4g/5g),Countries,Calls,Texts
100GB,55,5G,Canada,Unlimited,Unlimited
175GB,65,5G,Canada,Unlimited,Unlimited
200GB,85,5G,"Canada,US, Mexico",Unlimited,Unlimited
125GB,65,5G,Canada,Unlimited,Unlimited
200GB,75,5G,Canada,Unlimited,Unlimited
200GB,95,5G,"Canda,US,Mexico",Unlimited,Unlimited
60GB,45,5G,Canada,Unlimited,Unlimited
