Data,Price,Type(4g/5g),Countries,Features, Details
100 GB ,$45.00, 5G+ speeds \n,Canada,Unlimited calling, texting and data in Canada \n,[Unlimited calling, texting and data in Canada ,Shareable data , Crave Basic ], [5G+ network access ,SD video streaming ,Unlimited international texting ,Hotspot capability ]
200 GB ,$75.00, 5G+ speeds \n,"Unlimited calling, texting and data in Canada, the U.S. and Mexico \n",[Unlimited calling, texting and data in Canada, the U.S. and Mexico ,Shareable data ,Crave Basic ],[5G+ network access ,HD video streaming ,Unlimited international texting ,Hotspot capability ,1000 international minutes ]
100 GB ,$49.00 ,5G+ speeds \n,"Unlimited calling, texting and data in Canada \n", [Unlimited calling, texting and data in Canada, the U.S. and Mexico ,Shareable data ], [5G+ network access, SD video streaming, Unlimited international texting, Hotspot capability]
150 GB ,$60.00 ,5G+ speeds \n,"Unlimited calling, texting and data in Canada and the U.S \n", [Unlimited calling, texting and data in Canada, the U.S. and Mexico ,Shareable data , Crave basic ], [5G+ network access, SD video streaming, Unlimited international texting, Hotspot capability]
